,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
18511,92091,CA,Rancho Santa Fe,San Diego County,1973209.0,2148613.0,3192143.0
18565,95444,CA,Graton,Sonoma County,525792.0,617084.0,778385.0
18591,95942,CA,Forest Ranch,Butte County,241093.0,325896.0,375657.0
18595,95002,CA,San Jose,Santa Clara County,810353.0,1060817.0,1387910.0
18596,95589,CA,Whitethorn,Humboldt County,306920.0,328578.0,475689.0
18671,96051,CA,Lakehead,Shasta County,,264526.0,350691.0
18676,95462,CA,Monte Rio,Sonoma County,409093.0,462672.0,668920.0
18767,96057,CA,McCloud,Siskiyou County,192981.0,220548.0,295387.0
18786,94020,CA,La Honda,San Mateo County,905766.0,917365.0,984986.0
18826,92676,CA,Silverado,Orange County,589316.0,700417.0,948746.0
18832,95039,CA,Moss Landing,Monterey County,481111.0,683783.0,846085.0
18868,95421,CA,Cazadero,Sonoma County,469378.0,557094.0,760927.0
18876,92086,CA,Warner Springs,San Diego County,292777.0,326943.0,481116.0
18881,96140,CA,Carnelian Bay,Placer County,622677.0,761060.0,1135809.0
18887,95977,CA,Smartsville,Nevada County,304448.0,375690.0,528637.0
18932,91905,CA,Boulevard,San Diego County,228521.0,309904.0,462191.0
18957,93249,CA,Lost Hills,Kern County,135547.0,172620.0,246617.0
19057,93920,CA,Big Sur,Monterey County,1786946.0,1988415.0,2531227.0
19077,90742,CA,Huntington Beach,Orange County,1806038.0,2032288.0,2739406.0
19098,94924,CA,Bolinas,Marin County,992097.0,1840218.0,2426801.0
19100,95689,CA,Volcano,Amador County,274295.0,322199.0,433370.0
19144,95962,CA,Oregon House,Yuba County,251007.0,320335.0,464698.0
19208,96028,CA,Fall River Mills,Shasta County,,202166.0,285517.0
19308,95551,CA,Loleta,Humboldt County,320196.0,357993.0,522435.0
19324,93440,CA,Los Alamos,Santa Barbara County,512338.0,558233.0,844663.0
19397,95449,CA,Hopland,Mendocino County,,,596978.0
19510,93206,CA,Buttonwillow,Kern County,125130.0,151254.0,203423.0
19511,94973,CA,Woodacre,Marin County,823560.0,860519.0,1251112.0
19512,95346,CA,Mi Wuk Village,Tuolumne County,,,372063.0
19542,93562,CA,Trona,San Bernardino County,57717.0,62706.0,50815.0
19578,92401,CA,San Bernardino,San Bernardino County,168484.0,241158.0,365709.0
19636,93261,CA,Richgrove,Tulare County,117310.0,152571.0,211805.0
19669,93432,CA,Creston,San Luis Obispo County,731592.0,839721.0,1071264.0
19750,92321,CA,Lake Arrowhead,San Bernardino County,204075.0,269755.0,440956.0
19783,92070,CA,Santa Ysabel,San Diego County,426396.0,492637.0,724240.0
19785,93518,CA,Caliente,Kern County,175505.0,205429.0,303785.0
19861,92398,CA,Yermo,San Bernardino County,80764.0,103572.0,157587.0
19862,96118,CA,Loyalton,Sierra County,167163.0,196432.0,270736.0
19865,94937,CA,Inverness,Marin County,937445.0,1117361.0,1565726.0
19947,96052,CA,Lewiston,Trinity County,267711.0,286319.0,358567.0
20068,95664,CA,Pilot Hill,El Dorado County,409925.0,488603.0,735563.0
20094,93040,CA,Fillmore,Ventura County,336062.0,437553.0,608349.0
20107,95645,CA,Woodland,Yolo County,238350.0,303837.0,444120.0
20382,95919,CA,Brownsville,Yuba County,177557.0,265336.0,380621.0
20392,93243,CA,Lebec,Kern County,209593.0,259652.0,357017.0
20397,93252,CA,Maricopa,Ventura County,129848.0,125165.0,138233.0
20408,96044,CA,Hornbrook,Siskiyou County,138180.0,159323.0,215393.0
20436,95374,CA,Stevinson,Merced County,313726.0,439753.0,714610.0
20452,93604,CA,Bass Lake,Madera County,544008.0,633012.0,1029804.0
20455,95547,CA,Hydesville,Humboldt County,401584.0,449679.0,638018.0
20519,93441,CA,Los Olivos,Santa Barbara County,950125.0,1004253.0,1565189.0
20524,94060,CA,Pescadero,San Mateo County,1078239.0,1253925.0,1289353.0
20623,95612,CA,Clarksburg,Yolo County,576916.0,685258.0,927899.0
20693,93925,CA,Chualar,Monterey County,350892.0,450449.0,640638.0
20699,92273,CA,El Centro,Imperial County,,,196057.0
20750,95313,CA,Crows Landing,Stanislaus County,462047.0,573785.0,869789.0
20759,96142,CA,Tahoma,El Dorado County,556594.0,668152.0,1090580.0
20816,96039,CA,Happy Camp,Siskiyou County,106661.0,128639.0,164784.0
20856,96107,CA,Coleville,Mono County,218991.0,241068.0,314289.0
20861,93544,CA,Llano,Los Angeles County,228219.0,294138.0,408508.0
20879,96023,CA,Dorris,Siskiyou County,80566.0,95274.0,127474.0
21113,95681,CA,Sheridan,Placer County,285389.0,392382.0,581325.0
21153,95635,CA,Greenwood,El Dorado County,326586.0,381166.0,519851.0
21165,94586,CA,Sunol,Alameda County,1161143.0,1337710.0,1839745.0
21202,92339,CA,Forest Falls,San Bernardino County,197900.0,248808.0,326294.0
21211,91963,CA,Potrero,San Diego County,308925.0,394070.0,537713.0
21213,95955,CA,Maxwell,Colusa County,175594.0,188647.0,250180.0
21242,95456,CA,Mendocino,Mendocino County,504246.0,541966.0,745101.0
21265,96141,CA,Homewood,Placer County,740545.0,914931.0,1453959.0
21282,94104,CA,San Francisco,San Francisco County,1817328.0,1683375.0,1612584.0
21337,95410,CA,Albion,Mendocino County,538240.0,577223.0,730726.0
21387,93653,CA,Raymond,Madera County,256494.0,342321.0,458997.0
21407,95629,CA,Volcano,Amador County,321148.0,371842.0,522854.0
21519,96062,CA,Millville,Shasta County,,394848.0,553721.0
21542,95914,CA,Bangor,Butte County,240838.0,301046.0,421865.0
21549,94933,CA,Lagunitas,Marin County,785798.0,839434.0,1080870.0
21551,96091,CA,Trinity Center,Trinity County,282893.0,286785.0,339574.0
21593,95064,CA,Santa Cruz,Santa Cruz County,636724.0,723501.0,1021518.0
21595,96069,CA,Oak Run,Shasta County,,304371.0,411582.0
21666,95636,CA,Somerset,El Dorado County,213581.0,267695.0,394674.0
21681,92333,CA,Fawnskin,San Bernardino County,264716.0,312926.0,532635.0
21709,95323,CA,Hickman,Stanislaus County,363735.0,460271.0,673887.0
21717,95433,CA,Sonoma,Sonoma County,516724.0,615455.0,770997.0
21726,95553,CA,Myers Flat,Humboldt County,,378550.0,474552.0
21741,93461,CA,Shandon,San Luis Obispo County,289189.0,342940.0,480273.0
21743,95528,CA,Carlotta,Humboldt County,313431.0,362415.0,463812.0
21760,96087,CA,Redding,Shasta County,244636.0,283402.0,384443.0
21812,96024,CA,Douglas City,Trinity County,294810.0,315072.0,406961.0
21818,95227,CA,Lockeford,San Joaquin County,494228.0,634095.0,995895.0
21862,95701,CA,Alta,Placer County,295070.0,367146.0,469247.0
21887,95017,CA,Davenport,Santa Cruz County,834131.0,1012602.0,1015032.0
22014,96109,CA,Doyle,Lassen County,112803.0,133311.0,175317.0
22024,95306,CA,Catheys Valley,Mariposa County,304642.0,358223.0,467883.0
22056,92282,CA,White Water,Riverside County,153469.0,237897.0,375962.0
22067,93664,CA,Shaver Lake,Fresno County,430865.0,458378.0,671174.0
