,zip,city,county,12/31/2015,12/31/2019
674,91724,Covina,Los Angeles,517092.0,607512.0
675,91302,Calabasas,Los Angeles,1290040.0,1437256.0
676,91932,Imperial Beach,San Diego,443549.0,606816.0
677,90249,Gardena,Los Angeles,454054.0,595354.0
678,90240,Downey,Los Angeles,520851.0,629276.0
679,95242,Lodi,San Joaquin,328896.0,410279.0
680,91010,Duarte,Los Angeles,453566.0,548117.0
681,91307,West Hills,Los Angeles,617928.0,723465.0
682,91301,Agoura Hills,Los Angeles,795979.0,909479.0
683,92284,Yucca Valley,San Bernardino,163144.0,232090.0
684,92606,Irvine,Orange,781906.0,877239.0
685,94530,El Cerrito,Contra Costa,429532.0,514941.0
686,91411,Van Nuys,Los Angeles,605687.0,771532.0
687,91784,Upland,San Bernardino,593229.0,681593.0
688,95032,Los Gatos,Santa Clara,1683807.0,1884934.0
689,95503,Eureka,Humboldt,269134.0,319764.0
690,90304,Inglewood,Los Angeles,401805.0,557492.0
691,90064,Los Angeles,Los Angeles,1340823.0,1676550.0
692,92532,Lake Elsinore,Riverside,339899.0,413966.0
693,94803,El Sobrante,Contra Costa,466259.0,597793.0
694,94123,San Francisco,San Francisco,2638305.0,2606869.0
695,91740,Glendora,Los Angeles,480073.0,564496.0
696,94947,Novato,Marin,733800.0,804170.0
697,92832,Fullerton,Orange,491276.0,591038.0
698,94402,San Mateo,San Mateo,1700696.0,2007621.0
699,95815,Sacramento,Sacramento,162895.0,253961.0
700,92411,San Bernardino,San Bernardino,187954.0,269641.0
701,91030,South Pasadena,Los Angeles,1019321.0,1234147.0
702,94547,Hercules,Contra Costa,429532.0,764503.0
703,90602,Whittier,Los Angeles,476182.0,567046.0
704,91106,Pasadena,Los Angeles,638840.0,743468.0
705,95677,Rocklin,Placer,383574.0,482316.0
706,93933,Marina,Monterey,496929.0,633687.0
707,95945,Grass Valley,Nevada,317309.0,383409.0
708,94506,Danville,Contra Costa,1888047.0,2104706.0
709,95003,Aptos,Santa Cruz,836459.0,970014.0
710,91403,Sherman Oaks,Los Angeles,993118.0,1208680.0
711,91737,Rancho Cucamonga,San Bernardino,555678.0,662259.0
712,95367,Riverbank,Stanislaus,263297.0,341083.0
713,90274,Palos Verdes Peninsula,Los Angeles,1792544.0,1934950.0
714,92211,Palm Desert,Riverside,330256.0,365638.0
715,91775,San Gabriel,Los Angeles,801888.0,914784.0
716,95354,Modesto,Stanislaus,198036.0,274936.0
717,92119,San Diego,San Diego,514338.0,630262.0
718,92651,Laguna Beach,Orange,2146461.0,2326245.0
719,95054,Santa Clara,Santa Clara,959769.0,1227849.0
720,90303,Inglewood,Los Angeles,421926.0,588226.0
721,95215,Stockton,San Joaquin,184348.0,271497.0
722,90740,Seal Beach,Orange,824972.0,936821.0
723,93041,Port Hueneme,Ventura,352600.0,428759.0
724,94619,Oakland,Alameda,664742.0,817372.0
725,92251,Imperial,Imperial,215610.0,268446.0
726,95746,Granite Bay,Placer,706355.0,841782.0
727,95776,Woodland,Yolo,363181.0,440566.0
728,90403,Santa Monica,Los Angeles,1273198.0,1461797.0
729,95531,Crescent City,Del Norte,220885.0,256696.0
730,94609,Oakland,Alameda,852153.0,1096670.0
731,94024,Los Altos,Santa Clara,2895182.0,3234032.0
732,95969,Paradise,Butte,217700.0,289759.0
733,90292,Marina Del Rey,Los Angeles,1020801.0,1182220.0
734,92835,Fullerton,Orange,740187.0,829610.0
735,93212,Corcoran,Kings,130577.0,163681.0
736,95864,Sacramento,Sacramento,461287.0,548763.0
737,91202,Glendale,Los Angeles,721478.0,908323.0
738,95501,Eureka,Humboldt,246812.0,292656.0
739,93907,Salinas,Monterey,485951.0,605726.0
740,91201,Glendale,Los Angeles,732092.0,911405.0
741,92602,Irvine,Orange,984439.0,1088770.0
742,96007,Anderson,Shasta,202692.0,252096.0
743,94085,Sunnyvale,Santa Clara,1017873.0,1344100.0
744,92844,Garden Grove,Orange,489307.0,610515.0
745,92277,Twentynine Palms,San Bernardino,103333.0,151522.0
746,94597,Walnut Creek,Contra Costa,764618.0,861341.0
747,92782,Tustin,Orange,741836.0,826360.0
748,90404,Santa Monica,Los Angeles,926575.0,1139446.0
749,94089,Sunnyvale,Santa Clara,997447.0,1252975.0
750,90732,San Pedro,Los Angeles,561506.0,671575.0
751,95330,Lathrop,San Joaquin,338503.0,444935.0
752,93610,Chowchilla,Madera,195384.0,267810.0
753,93203,Arvin,Kern,151905.0,188961.0
754,90015,Los Angeles,Los Angeles,644968.0,688127.0
755,94030,Millbrae,San Mateo,1512906.0,1794251.0
756,92118,Coronado,San Diego,1529641.0,1940713.0
757,92225,Blythe,Riverside,134136.0,160168.0
758,92108,San Diego,San Diego,351293.0,438096.0
759,90720,Los Alamitos,Orange,877799.0,1033543.0
760,93263,Shafter,Kern,187705.0,226792.0
761,92354,Loma Linda,San Bernardino,352107.0,432770.0
762,95135,San Jose,Santa Clara,1032725.0,1237579.0
763,95620,Dixon,Solano,375383.0,456230.0
764,92663,Newport Beach,Orange,1727851.0,1962675.0
765,92585,Sun City,Riverside,312147.0,390240.0
766,94579,San Leandro,Alameda,550202.0,691704.0
767,93560,Rosamond,Kern,189304.0,266123.0
768,94596,Walnut Creek,Contra Costa,860945.0,908584.0
769,94703,Berkeley,Alameda,965947.0,1254764.0
770,90272,Pacific Palisades,Los Angeles,2891827.0,3208562.0
771,95818,Sacramento,Sacramento,485406.0,607751.0
