,store_name,address,latitude,longitude,zip
71,94520,94520,94520,94520,94520
72,Whole Foods Market,"2941 Ygnacio Valley Rd, Walnut Creek",37.925742,-122.0159302,95498
73,Whole Foods Market,"414 Miller Ave, Mill Valley",37.8960009,-122.5363018,94941
74,Whole Foods Market,"230 Bay Pl, Oakland",37.81276870000001,-122.2609981,94612
75,Whole Foods Market,"3000 Telegraph Ave, Berkeley",37.8556066,-122.2602487,94705
76,Whole Foods Market,"3502 Mt Diablo Blvd, Lafayette",37.8933586,-122.117205,94549
77,Whole Foods Market,"5110 Telegraph Ave, Oakland",37.8376258,-122.2618548,94609
78,Whole Foods Market,"1025 Gilman St, Berkeley",37.8807242,-122.2978181,94710
79,Whole Foods Market,"731 E Blithedale Ave, Mill Valley",37.9025668,-122.526023,94941
80,Whole Foods Market,"340 3rd St, San Rafael",37.9713437,-122.5168364,94901
81,Whole Foods Market,"3682 Bel Aire Plaza, Napa",38.3231349,-122.3060568,94558
82,Whole Foods Market,"201 W Napa St, Sonoma",38.2909047,-122.4624906,95476
83,Whole Foods Market,"1181 Yulupa Ave, Santa Rosa",38.4423164,-122.6746286,95405
84,Whole Foods Market,"6910 McKinley St, Sebastopol",38.4038287,-122.8240169,95472
85,Whole Foods Market,"390 Coddingtown Mall, Santa Rosa",38.4578846,-122.7313879,95401
86,Whole Foods Market,"621 E Washington St, Petaluma",38.2412795,-122.6345586,94952
87,Whole Foods Market,"790 De Long Ave, Novato",38.1059326,-122.5655922,94945
