"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"394200","35486","1400000US06001408600","Census Tract 4086, Alameda County, California"
"413800","49351","1400000US06001408700","Census Tract 4087, Alameda County, California"
"385200","60854","1400000US06001408800","Census Tract 4088, Alameda County, California"
"351500","55081","1400000US06001408900","Census Tract 4089, Alameda County, California"
"330600","50095","1400000US06001409000","Census Tract 4090, Alameda County, California"
"360100","31921","1400000US06001409100","Census Tract 4091, Alameda County, California"
"404000","45376","1400000US06001409200","Census Tract 4092, Alameda County, California"
"351400","26692","1400000US06001409300","Census Tract 4093, Alameda County, California"
"417800","57602","1400000US06001409400","Census Tract 4094, Alameda County, California"
"351200","38585","1400000US06001409500","Census Tract 4095, Alameda County, California"
"353300","33164","1400000US06001409600","Census Tract 4096, Alameda County, California"
"360600","29124","1400000US06001409700","Census Tract 4097, Alameda County, California"
"612200","31357","1400000US06001409800","Census Tract 4098, Alameda County, California"
"780900","53133","1400000US06001409900","Census Tract 4099, Alameda County, California"
"709100","46797","1400000US06001410000","Census Tract 4100, Alameda County, California"
"493300","28026","1400000US06001410100","Census Tract 4101, Alameda County, California"
"349200","34300","1400000US06001410200","Census Tract 4102, Alameda County, California"
"366400","66053","1400000US06001410300","Census Tract 4103, Alameda County, California"
"389400","33241","1400000US06001410400","Census Tract 4104, Alameda County, California"
"750000","134520","1400000US06001410500","Census Tract 4105, Alameda County, California"
"1028900","47127","1400000US06001420100","Census Tract 4201, Alameda County, California"
"780700","72438","1400000US06001420200","Census Tract 4202, Alameda County, California"
"665600","73071","1400000US06001420300","Census Tract 4203, Alameda County, California"
"-","**","1400000US06001420400","Census Tract 4204, Alameda County, California"
"887100","36558","1400000US06001420500","Census Tract 4205, Alameda County, California"
"1045000","58205","1400000US06001420600","Census Tract 4206, Alameda County, California"
"1174600","58325","1400000US06001421100","Census Tract 4211, Alameda County, California"
"1406500","174439","1400000US06001421200","Census Tract 4212, Alameda County, California"
"1127800","54048","1400000US06001421300","Census Tract 4213, Alameda County, California"
"1329800","107265","1400000US06001421400","Census Tract 4214, Alameda County, California"
"1159500","55622","1400000US06001421500","Census Tract 4215, Alameda County, California"
"1161100","49862","1400000US06001421600","Census Tract 4216, Alameda County, California"
"1025700","111618","1400000US06001421700","Census Tract 4217, Alameda County, California"
"983800","71301","1400000US06001421800","Census Tract 4218, Alameda County, California"
"851000","48172","1400000US06001421900","Census Tract 4219, Alameda County, California"
"815200","87580","1400000US06001422000","Census Tract 4220, Alameda County, California"
"845100","71433","1400000US06001422100","Census Tract 4221, Alameda County, California"
"822400","50177","1400000US06001422200","Census Tract 4222, Alameda County, California"
"948200","85087","1400000US06001422300","Census Tract 4223, Alameda County, California"
"806500","363478","1400000US06001422400","Census Tract 4224, Alameda County, California"
"923600","117191","1400000US06001422500","Census Tract 4225, Alameda County, California"
"-","**","1400000US06001422600","Census Tract 4226, Alameda County, California"
"1256400","444626","1400000US06001422700","Census Tract 4227, Alameda County, California"
"-","**","1400000US06001422800","Census Tract 4228, Alameda County, California"
