,RegionID,SizeRank,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
13,97564,13,94109,CA,San Francisco,San Francisco County,1197337.0,1243968.0,1267952.0
21,96107,22,90250,CA,Hawthorne,Los Angeles County,517432.0,672395.0,885199.0
39,97771,40,94565,CA,Pittsburg,Contra Costa County,503225.0,606525.0,825960.0
43,96027,44,90046,CA,Los Angeles,Los Angeles County,1267039.0,1474294.0,1768788.0
87,97711,88,94501,CA,Alameda,Alameda County,860008.0,1063497.0,1441005.0
93,97565,94,94110,CA,San Francisco,San Francisco County,1439791.0,1611352.0,1697890.0
98,96015,99,90034,CA,Los Angeles,Los Angeles County,1006847.0,1365873.0,1669363.0
102,98325,103,95630,CA,Folsom,Sacramento County,472339.0,580734.0,807167.0
111,96239,112,90805,CA,Long Beach,Los Angeles County,378323.0,491348.0,679717.0
113,96193,114,90650,CA,Norwalk,Los Angeles County,406253.0,499980.0,689221.0
114,96025,115,90044,CA,Los Angeles,Los Angeles County,338753.0,469508.0,651260.0
116,96990,117,92683,CA,Westminster,Orange County,593557.0,708542.0,996610.0
127,96467,128,91709,CA,Chino Hills,San Bernardino County,590090.0,689533.0,946615.0
134,97764,135,94558,CA,Napa,Napa County,613468.0,714863.0,941515.0
135,96007,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0,1214980.0
138,96545,139,91910,CA,Chula Vista,San Diego County,427141.0,528984.0,809831.0
141,97431,142,93722,CA,Fresno,Fresno County,209250.0,266359.0,383899.0
153,97740,154,94533,CA,Fairfield,Solano County,312193.0,410691.0,566607.0
163,98304,165,95608,CA,Carmichael,Sacramento County,342437.0,426838.0,604482.0
167,96987,169,92677,CA,Laguna Niguel,Orange County,796492.0,883441.0,1329441.0
172,96047,174,90066,CA,Los Angeles,Los Angeles County,1177364.0,1489834.0,1803152.0
179,96817,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0,692327.0
187,98432,189,95823,CA,Sacramento,Sacramento County,220513.0,303443.0,456129.0
188,96825,190,92345,CA,Hesperia,San Bernardino County,204769.0,273519.0,411572.0
196,98411,198,95747,CA,Roseville,Placer County,420254.0,514161.0,723268.0
199,97023,201,92804,CA,Anaheim,Orange County,507940.0,613544.0,886172.0
202,96667,204,92126,CA,San Diego,San Diego County,487590.0,614146.0,968114.0
208,96882,210,92503,CA,Riverside,Riverside County,332061.0,417939.0,623471.0
209,96546,211,91911,CA,Chula Vista,San Diego County,388833.0,485912.0,744784.0
219,96643,221,92101,CA,San Diego,San Diego County,562421.0,620347.0,809225.0
220,96000,222,90019,CA,Los Angeles,Los Angeles County,899261.0,1146685.0,1463261.0
229,97743,231,94536,CA,Fremont,Alameda County,838496.0,1058874.0,1552999.0
235,96934,237,92592,CA,Temecula,Riverside County,419483.0,501187.0,772977.0
241,96125,243,90280,CA,South Gate,Los Angeles County,364019.0,465866.0,613596.0
248,96083,250,90201,CA,Bell,Los Angeles County,359982.0,461723.0,612206.0
249,96477,251,91730,CA,Rancho Cucamonga,San Bernardino County,378662.0,457516.0,654503.0
253,95985,255,90004,CA,Los Angeles,Los Angeles County,1070228.0,1328261.0,1650873.0
255,96651,257,92109,CA,San Diego,San Diego County,811294.0,1009045.0,1453160.0
269,96368,271,91342,CA,Los Angeles,Los Angeles County,431915.0,542752.0,757114.0
270,96208,272,90706,CA,Bellflower,Los Angeles County,427351.0,531578.0,717882.0
271,96816,273,92335,CA,Fontana,San Bernardino County,281348.0,367032.0,536384.0
272,97991,274,95123,CA,San Jose,Santa Clara County,789959.0,979979.0,1464851.0
273,96590,275,92021,CA,El Cajon,San Diego County,411618.0,503851.0,767825.0
279,97118,280,93065,CA,Simi Valley,Ventura County,521033.0,602031.0,848487.0
289,96959,291,92627,CA,Costa Mesa,Orange County,765961.0,891785.0,1264227.0
296,96006,298,90025,CA,Los Angeles,Los Angeles County,853070.0,1041515.0,1202887.0
304,97940,306,95035,CA,Milpitas,Santa Clara County,855520.0,1073804.0,1509947.0
305,96468,307,91710,CA,Chino,San Bernardino County,429532.0,510041.0,727312.0
306,95992,308,90011,CA,Los Angeles,Los Angeles County,323676.0,448867.0,590998.0
312,97751,314,94544,CA,Hayward,Alameda County,517364.0,666759.0,948861.0
