,zip,full address,store_name,latitude,longitude
126,92653,"24231 Avenida De La Carlota, Laguna Hills, CA, 92653",Trader Joe's Laguna Hills (39),33.6098451,-117.70299680553677
129,95207,"6535 Pacific Ave, Stockton, CA, 95207",Trader Joe's Stockton (76),38.009705865771814,-121.32018170469799
130,90024,"1000 Glendon Ave, Los Angeles, CA, 90024",Trader Joe's Westwood (234),34.0621165,-118.4439469
131,90275,"28901 S Western Ave, Rancho Palos Verdes, CA, 90275",Trader Joe's Rancho Palos Verdes - S. Western Ave. (57),33.756146,-118.309801
135,91302,"23741 Calabasas Rd., Calabasas, CA, 91302",Trader Joe's Calabasas (254),34.1491218,-118.6644493
138,90505,"2545 Pacific Coast Hwy, Torrance, CA, 90505",Trader Joe's Torrance - Rolling Hills Plaza (29),33.78951436581622,-118.3289377802471
139,91606,"6130 Laurel Canyon Bl, North Hollywood, CA, 91606",Trader Joe's North Hollywood (252),,
141,91101,"345 S Lake Ave, Pasadena, CA, 91101",Trader Joe's Pasadena - S Lake Ave (179),34.140069350000005,-118.13289651526038
143,94501,"2217 South Shore Center, Alameda, CA, 94501",Trader Joe's Alameda (109),,
144,92657,"8086 E Pacific Coast Hwy, Newport Beach, CA, 92657",Trader Joe's Newport Beach (125),,
145,91602,"10130 Riverside Dr, Toluca Lake, CA, 91602",Trader Joe's Toluca Lake (54),34.15212397142857,-118.35185322857143
146,94402,"1820-22 S Grant Street, San Mateo, CA, 94402",Trader Joe's San Mateo - Grant St (67),37.55456445,-122.30260170007662
153,91107,"467 N Rosemead Blvd, Pasadena, CA, 91107",Trader Joe's Hastings Ranch (171),34.1581309,-118.0812102
156,95407,"2100 Santa Rosa Ave, Santa Rosa, CA, 95407",Trader Joe's Santa Rosa Ave (178),38.41750185,-122.71199975836902
158,92604,"14443 Culver Dr, Irvine, CA, 92604",Trader Joe's Irvine -  Walnut Village Ctr (37),33.706157000000005,-117.78842589754542
159,95757,"9670 Bruceville Road, Elk Grove, CA, 95757",Trader Joe's Elk Grove (190),38.405584227272726,-121.41776281818181
167,94024,"2310 Homestead Rd, Los Altos, CA, 94024",Trader Joe's Los Altos (127),37.3363953,-122.066598
180,93003,"103 S Mills Rd, Ventura, CA, 93003",Trader Joe's Ventura - Midtown (218),34.2717912,-119.24899
185,90036,"175 South Fairfax Ave, Los Angeles, CA, 90036",Trader Joe's Los Angeles - 3rd & Fairfax (240),34.047595,-118.367578
186,92675,"32151 Camino Capistrano, San Juan Capistrano, CA, 92675",Trader Joe's San Juan Capistrano (249),33.49647185134107,-117.66271321596183
189,92677,"32351 Street of the Golden Lantern, Laguna Niguel, CA, 92677",Trader Joe's Laguna Niguel - Ocean Ranch (103),33.4930125,-117.69660483843954
192,90266,"1821 Manhattan Beach Blvd, Manhattan Beach, CA, 90266",Trader Joe's Manhattan Beach Blvd (34),33.88743451020408,-118.38026663265306
193,95008,"1875 Bascom Ave, Campbell, CA, 95008",Trader Joe's Campbell (73),37.2889359,-121.9326934
